,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,platform
0,dd72f4db-4ff9-4cd3-ada4-bcb875879053,Monica Swenson (MJ),https://play-lh.googleusercontent.com/a-/ALV-UjX6GJa6HzmkOqZwMZh9rzKT61BJr1p8r0cKeu-URH5YC_M,"I put my phone in a plastic bag to use this app. XD It's sleek and easy to use. I tried out the first 2 recommended workouts and liked them a lot, but now it won't generate any more and I don't have a subscription. Are there only 2 accessible workouts per mode without a subscription? Also some of the drill descriptions are hard to understand (in English). Not a huge problem but I'm not familiar with all the drills. (Edit: the videos are really helpful though!)",4,36,1.97,2021-02-22 07:54:43,"Thank you for your comment! In every training mode there are several free workouts, in the app there are about 10-15 free workouts. Free workouts allow you to try the app and see if you want to continue using it in a regular basis.",2021-06-27 19:33:50,1.97,GooglePlayStore
1,95562cc6-2225-4777-9d9f-c7f30f95199d,Rick Joosten,https://play-lh.googleusercontent.com/a-/ALV-UjX6i8nwnuobMlxIGI00lse8v4fNeSCEyB1m7hxJVEYd,"The SwimUp app has helped me going to the pool regularly. Their personalized training plan is just right for me. Not too easy, not too hard so no need to look through endless lists of workout plans to find the right one.",5,3,2.0,2023-12-08 15:47:21,Thank you for your review! We are glad you like our app!,2023-12-09 00:16:37,2.0,GooglePlayStore
2,8b0d486f-6e48-4988-889b-5cca792c7a07,Laurent Montigny,https://play-lh.googleusercontent.com/a/ACg8ocLB3ZyPuZ9kqGbECUSSUwOyo-1rNDfDGswE2CXFBEp8=mo,"Personnal plan seems good at first glance but when I ask for 800m workout, it always give me training longer than 1k, up to 1.8km. Most of the workout in the personal plan seems to be a rearrangement of the existing training plans. Exporting to the Garmin watch is working but you have to use the Garmin app, it's a 2 steps process every time, no direct connection with the watch. (Edited, 800m issue was fixed)",4,0,2.0,2023-12-15 01:41:12,"Hi Laurent, thanks for your feedback! We have fixed this issue with workouts less than 1k. It is now working correctly. Could you please provide more feedback on the Garmin watch experience at support@swimup.io. Thanks in advance!",2023-12-15 01:27:49,2.0,GooglePlayStore
3,137d6ebe-9198-4919-a0a5-44764bc17bd3,Guido Trueb,https://play-lh.googleusercontent.com/a-/ALV-UjUxfmKtbGK2_nEN-UNCY4pbhq5FRjWIZhIGrDFpB_lvu3R_,"A lot of potential and probably the best of the kind in many aspects, including usability. But it is very limited and it seems development is completely stagnant. No option to remove workouts, restart program, increase workout duration/length or chose which equipment you have. Also doesn't export/import from Garmin or Polar. Very disappointed. It would have so much potential if it wasn't abandoned...",2,17,1.97,2021-12-11 01:35:19,"Thank you for your feedback.
We have recently launched a new version. Please check it out! :)",2022-08-08 00:24:03,1.97,GooglePlayStore
4,3c847dd8-1ae7-48eb-8d44-054d5834dea2,Silviu-Alexandru Badragan,https://play-lh.googleusercontent.com/a-/ALV-UjX7TV2Z1kOx0HPVWHblKd1ZCqH_9eeW_oHHbwheoZyLcXg,"The app is decent, I am using it, but the behavior in regards to sales is terrible, I have bought an yearly subscription at a very markdown price. Normally this should have locked in my subscription, instead I was refunded the money and forced to pay again because of new pricing. Buying a subscription means that it should be respected, if it was sold at a low price to gain customers, it means you made a conscious choice to loose money on initial marketing and leads.",3,15,1.98,2023-05-14 20:14:12,"Thank you for your feedback! We have had technical issues with payments this is why you have received a refund.
We have added recently new features as Garmin watch and German, Spanish and French languages. This is why we slightly raise subscription price. However, there was not any meaning to make a refund in order to raise the price.",2023-05-18 20:49:48,1.98,GooglePlayStore
5,7af01038-d2a3-493d-8117-ddb15ef05fd6,Ali Kemal CAYLAN,https://play-lh.googleusercontent.com/a-/ALV-UjUFGK_L81ghsTbgBjag4viF3ofTCjvEFpSSAlNru-Gsow,"An excellent app. I've been following Swimup on YouTube since it was first created. Pin point error correction, solutions and excelent effective training ideas on adult swimming. Program includes all basic and all advance levels and END and SPRT modes with using tools where necessary. I made my subscription on 2021 August 1st. I took many private lessons and group work so far, but I have never had such a rapid and effective development until now. You must try, time is valuable.",5,21,1.97,2021-08-31 19:00:30,Thank you very much for your feedback! Enjoy your swimming with our app! :),2020-12-13 19:42:10,1.97,GooglePlayStore
6,fdeca43a-2dba-4728-9b65-717a6d5e29ff,Karsten Keese,https://play-lh.googleusercontent.com/a-/ALV-UjXUGhtny32XhExepNrr06mzh2THZ02oVSLcOIsTL8z91Q,"Subscription schemes to bleed customers dry ad infinitum are the only option offered to obtain the software's full functionality; there is no possibility to purchase the program once and for all. Consequently, this milkingware has been replaced with an alternative that can be bought instead of rented and was subsequently uninstalled.",2,1,,2023-06-28 22:18:50,Thank you for your feedback! We are researching an opportunity to add a lifetime subscription. Could you please contact us at support@swimup.io for providing more feedback?,2023-11-09 19:07:40,,GooglePlayStore
7,300d1a95-bbb7-4db0-82f4-69e72a55b6f7,Nishika Tushir 2,https://play-lh.googleusercontent.com/a-/ALV-UjUvac-djAdP60zl7TwkYTHs8Szfy_pGQMSNjcBqYxxt484,The app is continuously stopping ..,1,1,2.0,2023-11-29 02:23:41,"Hi, could you please tell us what kind of problem you are having with ""stopping""? Please contact us at support@swimup.io",2023-11-30 16:16:43,2.0,GooglePlayStore
8,272e303a-e6ed-47d9-a972-a5c2fe2456b7,I S A A C,https://play-lh.googleusercontent.com/a-/ALV-UjVu-lQ81F5huJ_D4ym82t6dDUG6mAwIP7rM5NFlw5O6Z_UT,"If only they got rid of those generic photos of that male swimmer from the start screen. And add some HD photos of Olympians, familiar faces for each category. This app would look immensely cleaner! Performance wise : the app won't save your work if you take a call or switch tabs from another app during your workout for some reason.",4,8,1.97,2021-07-20 11:35:49,,,1.97,GooglePlayStore
9,262493d7-9951-4249-b6e6-ceadb1e3e1bd,Brianna,https://play-lh.googleusercontent.com/a-/ALV-UjWtsIP7NOI-K0kAt2NmQn3NMRKa790uKpVFHUUzVUnv3f10,"Would rate five stars if we had the option to select what equipment is available to us and tailor the workouts around that. Ex: not swimming in a pool so unable to do exercises based on pushing off the wall, etc. Also would like to be able to select less than 250m and less than 20 min on the set up questionnaire for complete beginners.",4,14,1.97,2021-06-03 16:58:39,Thank you very much for your feedback! We will try our best to add this feature in our next releases.,2021-06-27 18:04:13,1.97,GooglePlayStore
