,date,developerResponse,review,rating,isEdited,title,userName,platform
0,2020-08-04 11:07:47,"{'id': 17008952, 'body': 'Thanks for your awesome feedback!', 'modified': '2020-07-31T17:09:09Z'}","I like sport gadgets, but usually 9 out of 10 times my enthusiasm ends in great disappointment. However, the Form swim goggles have by far exceeded my expectations - they simply work. All the features advertised work better than expected and the app is a solid companion of the goggles. If you want to focus on your swim and forget counting laps or looking up for your time, the Form swim goggles are the best solution. They are also for me personally one of the best fitting goggles I’ve ever used, but that might be different for others people. I am really grateful for the team having developed these goggles. I wish more people knew about them. They are now also sold in Europe, but I was able to order them from the US.
P. S. : last week I tried out the new open water feature after a firmware update. I connected my Form goggle with my Apple Watch series 4 and went for a first swim. Once again, it all worked as announced. Just as a suggestion, I really wish that the developers could use Apple Watch’s inbuilt compass to show the direction of my swim on the display too. It’s my only future feature request!",5,True,Amazing! Now even better 😃,armanbn,AppStore
1,2021-08-02 17:08:07,"{'id': 24544052, 'body': ""Thanks so much for your awesome review! Always lovely to hear how the goggles improve our swimmers' performance!"", 'modified': '2021-08-17T03:58:46Z'}","My biggest question was if I was going to be able to read the data without my glasses and can tell you No problem as the data is easy to read and very clear in my vision. 

I have recently started running Triathlon events and was struggling with the swimming portion. I have been looking into Form goggles for a while and decided to purchase them as I do all my swimming in open water. My first impression is they were very easy to set up and connect to my Garmin 745 watch. After several swims I can already see they are helping me swim farther by knowing the distance I have covered as well as time length and pace of my swim. I set a goal of distance and/or time I want to swim and now I know when I have completed my goal. 

Another benefit to me is the fact that in open water lake swimming I can’t see the bottom so it was like swimming in the dark whenever face was in the water and now I focus on the data which is very easy to read.",5,False,Very motivating,Audiguy01,AppStore
2,2020-11-25 14:41:27,"{'id': 19705387, 'body': 'Thank you for your review - always great to hear how the goggles are making swimming more enjoyable for our swimmers!', 'modified': '2020-12-11T21:12:58Z'}","This has been a game changer in how I swim. First, the app is great and is the required companion for the Form goggles. The goggles are amazing and after almost half a year of reliable swim tracking in the mornings and at night, I love these goggles and the app. They are fast, reliable, the screen is clear underwater and gets out of the way. Most importantly it lets me enjoy my swims without counting in my head and lets me have the data to know how I am performing and set timing goals to improve. I don’t know how it knows my stroke type, but again these goggles and the app are magic and I highly recommend them both!",5,False,I love these goggles,Microserf,AppStore
3,2022-08-31 15:57:28,"{'id': 34622430, 'body': ""Thanks for these comments. We've now made Plans and Workouts much more flexible so we hope that you are finding the experience a lot better!"", 'modified': '2023-02-01T21:34:59Z'}","The googles are fine and the workout generation is fine. However, something as basic as pausing your workout plan or being able to go back and pick up in you plan where you left off is not possible. If, for whatever reason, I don’t have the ability to complete 3 swims a week for 8 weeks, I should be able to go back to the last swim I completed and start from there. The progression system is time locked like an AFK video game. There’s no reason that I should have to wait 7 days for a workout week to unlock and then not be able to go back and complete missed workouts. Part of this is building endurance or achieving a goal set in the plan and if I don’t take the proper steps of progression then I don’t get as much out of week 7 as I could if I left off on week 3 This seems like a HUGE miss on their part and completely neuters an entire aspect of what could make this set up great.",3,False,"It’s fine, but not revolutionary",dpquik,AppStore
4,2023-03-13 06:25:25,"{'id': 35534710, 'body': 'Thanks for your feedback! Glad to hear that FORM is helping you to love swimming even more. We have shared your suggestions with the product team.', 'modified': '2023-03-22T21:03:39Z'}","This and bone conduction headphones have me swimming 2-3 times a week. The workout planner is awesome - it keeps it interesting. 

My feature request to the developer - please allow setting a critical swim pace, and allowing the workout builder to set intensity based on that, so that in the pre set instructions it can give a time per lap to shoot for. Or even allowing custom notes where I could enter that. 

Thanks for a game changing product!",5,False,Made me fall back in love with swimming,Robbie dm54,AppStore
5,2020-06-14 20:52:42,"{'id': 16004320, 'body': 'Thanks for your awesome review, Mattie! Good luck with your amazing goal - keep swimming!', 'modified': '2020-06-15T22:45:24Z'}","I love the product and app. Everything is done very well and I can’t imagine my life without the googles. Some reviews claim that this product should be for serious swimmers. I am a terrible form, overweight guy trying to lose 100 pounds and this app and googles have already made a big difference and I’m swimming longer. So thankful for this product. It is for everyone!",5,False,Great product and app one suggestion,Mattie e,AppStore
6,2019-10-28 01:33:56,"{'id': 11584418, 'body': 'Hi Kiviki - thanks for your feedback, and sorry for the confusion! The goggles will show a red LED until they are fully charged. When they are full, the LED will turn green. You might notice that the LED flashes green when you initially connect the goggles, but will then change to red for charging. Hope this helps! - FORM Support', 'modified': '2019-10-31T18:34:58Z'}","I love these goggles so much, but when it comes to charging them the goggles won’t charge well. I’ll put them on the charger and the red light comes on. I’ve tried to fix this issue by rearranging the way the charger connects to the goggles, but the light stays red except for some spots that are green. The problem with this is that the goggles are never guaranteed to be charged when I leave them with a green light. I understand that the goggles are new and still working through updates and I really appreciate what this company has done for swimming!",4,False,Charger problems,Kiviki,AppStore
7,2023-09-28 06:21:28,"{'id': 39759696, 'body': 'Thank you for your feedback. Seeing workout instructions in the goggles is a Premium Feature which is why this is part of the subscription. We will share your feedback with the team!', 'modified': '2023-10-26T16:06:21Z'}","I like the FORM goggles and what they provide, but I just cannot understand why I need to pay an extra $19 a month to import workouts I write myself into a product I already own. 

If I wanted to access the library, or share workouts with my friends (spoiler - I have none. I’m a triathlete… lol) that would be one thing. But it seems exploitative to force me to pay a recurring fee to use even the most basic feature.

I just want to see my own workouts in front of me. Why do I have to send money to other people for that privilege?!",2,False,Good Goggles - Do Not Like Plan Structure,Rsryder125,AppStore
8,2021-12-17 07:23:32,"{'id': 27001877, 'body': ""Thanks so much for your awesome review! If you need any help understanding membership or connecting your Polar heart rate monitor, please reach out at support@formswim.com. We're here to help!"", 'modified': '2021-12-22T20:04:27Z'}",I don’t understand their pricing but right now I don’t care because I like this app and my goggles so much. It was always so annoying to me to have to remember my labs. How to stop and click a clicker or write something down.  No more. I just swim. I just got the polar optical sensor I haven’t quite figured out how to connect it but when I do I may write more,5,False,Just the best deal going,igenr8,AppStore
9,2023-12-14 15:56:45,,"I love these revolutionary goggles! I think it is great to read your performance and be able to make any changes immediately rather then at the end of your lap. I believe it motivates you to go further and do better. 

My one wish would be if it worked with Garmin Fenix 5X and the triHRM Heart belt. I use my Garmin watch all the time and when synced I have two swimming data that comes one from Form and the other from Garmin. :-( Strava doesn’t connect these two data either so it is a bit manual process to combine these two separately. 

The battery lasts long, cleaning and maintenance is easy. I think you only loose 25% of your vision not 50% as some mentioned because the data is transparent. 

I recommend every swimmer enthusiast these goggles.",4,False,Googles of the Century,Mociman,AppStore
